Job Zone,Code,Occupation,url,Median Wage,Projected Growth,"Employment Change, 2024-2034",Projected Job Openings,Top Education Level,Sample Job Titles,Job Description,ai_proof_score,final_ranking,key_drivers,Calculation Type,Unpaid Training Years,Training Cost ($),Yr1 ($),Yr2 ($),Yr3 ($),Yr4 ($),Yr5 ($),Yr6 ($),Yr7 ($),Yr8 ($),Yr9 ($),Yr10 ($),10-Year Net Earnings ($),10-Year Net Earnings Calculation,10-Year Net Earnings Calculation Model,Difficulty Score,Difficulty Score Explanation,How to Get There,Job Market,Pension
3,29-1292.00,Dental Hygienists,https://www.onetonline.org/link/summary/29-1292.00,"$45.32 hourly, $94,260 annual",Much faster than average (7% or higher),7,"15,300",Associate's degree,"Dental Hygienist, Hygienist, Licensed Dental Hygienist, Pediatric Dental Hygienist, Registered Dental Hygienist (RDH)",Administer oral hygiene care to patients. Assess patient oral hygiene problems or needs and maintain health records. Advise patients on oral health maintenance and disease prevention. May provide advanced care such as providing fluoride treatment or administering topical anesthesia.,3.5,0.649,"Dental hygienists perform hands-on clinical work inside a patient's mouth—scaling, polishing, and applying treatments—in a way that demands fine motor skill and real-time adaptation that robots cannot replicate. They are licensed professionals with direct accountability for the care they provide, and patients build trust with their hygienist over years of regular visits. AI may help with charting and patient education, but the physical, relational core of this work is very well protected.",linear,2,15000,0,0,75000,77751,80503,83254,86006,88757,91509,94260,662040,"Linear: ($75,000 up to $94,260) over 8 yrs − $15,000 training = $662,040","1. Student Pays: 2-year accredited associate degree (~$15,000). 2 unpaid years.
2. Earnings trajectory: Salary grows linearly from a starting wage of ~$75k up to the $94,260 median.",High,"Dental hygiene programs are notoriously competitive to get into, often requiring high GPAs in prerequisite sciences. The curriculum is rigorous, and graduates must pass both a written National Board exam and a clinical, hands-on state exam.","Complete a 2-year CODA-accredited associate degree program in dental hygiene ($10,000-$30,000). Pass the written National Board Dental Hygiene Examination ($500) and a clinical state/regional exam (varies, ~$1,000) to obtain licensure.","15,300 annual openings. Strong demand due to an aging population retaining their natural teeth longer and increased awareness of oral health.",Rarely includes a defined-benefit pension. Typical benefits rely on a 401(k) plan with an employer match.
3,31-2021.00,Physical Therapist Assistants,https://www.onetonline.org/link/summary/31-2021.00,"$31.50 hourly, $65,510 annual",Much faster than average (7% or higher),22,"19,800",Associate's degree,"Certified Physical Therapist Assistant (CPTA), Home Care Physical Therapy Assistant, Home Health Physical Therapist Assistant, Licensed Physical Therapist Assistant (LPTA), Licensed Physical Therapy Assistant, Outpatient Physical Therapist Assistant, Per Diem Physical Therapist Assistant (Per Diem PTA), Physical Therapist Assistant (PTA), Physical Therapy Assistant (PTA)","Assist physical therapists in providing physical therapy treatments and procedures. May, in accordance with state laws, assist in the development of treatment plans, carry out routine functions, document the progress of treatment, and modify specific treatments in accordance with patient status and within the scope of treatment plans established by a physical therapist. Generally requires formal training.",3.1,0.647,"Physical therapist assistants work hands-on with patients—guiding exercises, providing manual therapy, and adapting treatments in real time based on how someone's body responds. Patients build trust with their PTA over weeks of recovery, and that relationship directly affects outcomes. The role requires licensure and carries meaningful clinical responsibility. AI may help with documentation and exercise planning, but the physical, relational core of this work is very hard to replace.",ladder,2,12000,0,0,55000,56650,58350,60100,61903,63760,65673,67643,477079,"Yr1 $0 + Yr2 $0 + Yr3 $55,000 + Yr4 $56,650 + Yr5 $58,350 + Yr6 $60,100 + Yr7 $61,903 + Yr8 $63,760 + Yr9 $65,673 + Yr10 $67,643 = $489,079 − $12,000 training = $477,079","1. Student Pays: 2-year CAPTE-accredited associate degree (~$12,000). 2 unpaid years.
2. Earnings trajectory: Salary grows 3% annually from an estimated $55,000 starting wage, crossing the BLS median of $65,510 at year 9, and continuing to grow at 3%.",Medium,"Requires completing a 2-year associate degree with clinical rotations, passing the National Physical Therapy Exam (NPTE) for PTAs, and obtaining state licensure.","Graduate from a 2-year CAPTE-accredited physical therapist assistant associate degree program (~$10,000-$20,000). Pass the NPTE for PTAs ($485) and any state jurisprudence exams to earn licensure.","19,800 annual openings. Extremely fast growth driven by the rehabilitation needs of an aging baby boomer population and increases in chronic conditions.",Rare. Generally relies on hospital or clinic-sponsored 401(k) retirement plans.
3,33-3051.04,Customs and Border Protection Officers,https://www.onetonline.org/link/summary/33-3051.04,"$36.68 hourly, $76,290 annual",Average (3% to 4%),,"53,700",High school diploma or equivalent,"Canine Enforcement Officer (K-9 Enforcement Officer), Customs Inspector, Customs Officer, Import Specialist, Special Agent, US Customs and Border Protection Officer (US CBPO)","Investigate and inspect persons, common carriers, goods, and merchandise, arriving in or departing from the United States or between states to detect violations of immigration and customs laws and regulations.",3.6,0.643,"This role demands hands-on physical presence at ports of entry and border crossings, making real-time decisions about people and cargo in unpredictable situations. Officers carry legal authority to detain, search, and deny entry—responsibilities that laws require a human to exercise. AI tools may help with screening and data analysis, but the face-to-face judgment calls and enforcement actions must remain with a sworn officer.",ladder,0,0,50000,55000,65000,76290,92000,94760,97603,100531,103547,106653,841384,"Yr1 $50,000 + Yr2 $55,000 + Yr3 $65,000 + Yr4 $76,290 + Yr5 $92,000 + Yr6 $94,760 + Yr7 $97,603 + Yr8 $100,531 + Yr9 $103,547 + Yr10 $106,653 = $841,384 − $0 training = $841,384","1. Paid Training: Paid federal academy (FLETC) and on-the-job training. 0 unpaid years. Cost is $0.
2. Earnings trajectory: Salary grows via the federal GS scale (GL-5/7/9 up to GS-11/12) rapidly over 5 years. They hit the median $76,290 at Year 4, and reach GS-12 (~$92k+) at Year 5, far exceeding the BLS median. Thereafter, it grows at standard 3% step increases. Substantial overtime (AUO) is common but not included here.",Medium,"The actual academy training is rigorous but passable. The main difficulty is the extremely stringent and lengthy background investigation, polygraph, and physical requirements that disqualify many applicants.","Pass a rigorous federal background investigation and polygraph. Attend ~5 months of paid training at the Federal Law Enforcement Training Centers (FLETC) in Georgia, followed by probationary field work.","Demand is heavily dependent on federal funding/political changes, but historically there has been strong, steady demand to staff borders and ports of entry. High turnover maintains opportunities.","Excellent federal defined-benefit pension (FERS) tailored for law enforcement, allowing retirement after 20 years of service at age 50."
2,31-1121.00,Home Health Aides,https://www.onetonline.org/link/summary/31-1121.00,"$16.78 hourly, $34,900 annual",Much faster than average (7% or higher),,"765,800",High school diploma or equivalent,"Caregiver, Certified Home Health Aide (CHHA), Certified Medical Aide (CMA), Certified Nurses Aide (CNA), Home Attendant, Home Care Aide, Home Health Aide (HHA), Home Health Provider, Hospice Aide, In Home Caregiver","Monitor the health status of an individual with disabilities or illness, and address their health-related needs, such as changing bandages, dressing wounds, or administering medication. Work is performed under the direction of offsite or intermittent onsite licensed nursing staff. Provide assistance with routine healthcare tasks or activities of daily living, such as feeding, bathing, toileting, or ambulation. May also help with tasks such as preparing meals, doing light housekeeping, and doing laundry depending on the patient's abilities.",3.1,0.639,"Home health aides provide hands-on personal care—bathing, dressing, mobility assistance—in patients' homes, which requires being physically present in highly variable environments that robots cannot navigate. Equally important, patients and families rely on the human connection and trust that comes from having a consistent, caring person in their home. While the clinical judgment required is limited, the combination of irreplaceable physical presence and deep human trust makes this role quite resilient, and aging populations will likely increase demand.",linear,0.5,500,14250,29211,29922,30633,31344,32056,32767,33478,34189,34900,302250,"Linear: ($28,500 up to $34,900) over 9.5 yrs − $500 training = $302,250","1. Student Pays: Short 75-hour to 6-month certification roughly modeled as 0.5 unpaid years. Cost is ~$500.
2. Earnings trajectory: Yr1 prorated to 50% of starting salary ($14,250). Salary linearly interpolates up to the $34,900 median.",Low,"Training requirements are minimal (often only 75-120 hours), but the job requires immense physical stamina (lifting patients) and carries a heavy emotional toll with very low pay.",Complete a state-approved training program (75-120 hours minimum) and pass a competency evaluation or state certification exam to become a Certified Home Health Aide (CHHA).,"765,800 annual openings. Severe, chronic labor shortages guarantee immediate employment, but turnover is massive due to poor compensation and burnout.","Almost none. This field largely lacks basic retirement benefits, relying mostly on Social Security or minimal 401(k) options."
5,29-9099.01,Midwives,https://www.onetonline.org/link/summary/29-9099.01,"$30.78 hourly, $64,030 annual",Average (3% to 4%),,"2,600",Post-secondary certificate,"Birth Center Midwife, Certified Direct-Entry Midwife, Certified Professional Midwife (CPM), Homebirth Midwife, Lay Midwife, Licensed and Certified Midwife, Licensed Certified Professional Midwife, Licensed Direct Entry Midwife, Licensed Midwife (LM)",Provide prenatal care and childbirth assistance.,4.1,0.639,"Midwifery is deeply hands-on work where physical presence, clinical dexterity, and the trust between a birthing person and their provider are absolutely central. Every labor is different and can shift from routine to high-stakes in moments, requiring real-time judgment that carries direct legal and ethical responsibility. AI can assist with monitoring and documentation, but no technology can replace the human who physically delivers a baby and holds accountability for those critical decisions.",linear,1.5,10000,0,25500,52629,54258,55886,57515,59144,60772,62401,64030,482135,"Linear: ($51,000 up to $64,030) over 8.5 yrs − $10,000 training = $482,135","1. Student Pays: Assuming the Certified Professional Midwife (CPM) associative/certificate route (1.5 unpaid years equivalent training/apprenticeship, ~$10,000).
2. Earnings trajectory: Yr2 prorated to 50% ($25,500). Salary linearly interpolates up to the $64,030 median.",High,"Training paths often require extensive, poorly-paid clinical apprenticeships where students must attend a set volume of births on-call. Licensing requirements vary wildly between states, adding legal complexity.","Pathways vary (CNM vs CPM). The no-degree CPM path requires attending a MEAC-accredited school or an apprenticeship (often 2-4 years combined), and passing the NARM written exam ($970).","2,600 annual openings. Steady demand for home and birth-center care, though growth is slower than nursing-based (CNM) midwifery due to hospital restrictions.",Almost never. CPMs are largely self-employed in independent birth centers or private practice.
3,33-2011.00,Firefighters,https://www.onetonline.org/link/summary/33-2011.00,"$28.62 hourly, $59,530 annual",Average (3% to 4%),3.4,"27,100",High school diploma or equivalent,"Fire Engineer, Fire Equipment Operator, Fire Fighter, Fire Management Specialist, Fire Technician (Fire Tech), Firefighter, Forest Fire Suppression Specialist, Forestry Fire Technician (Forestry Fire Tech), Hot Shot, Wildland Firefighter","Control and extinguish fires or respond to emergency situations where life, property, or the environment is at risk. Duties may include fire prevention, emergency medical service, hazardous material response, search and rescue, and disaster assistance.",3.5,0.638,"Firefighting is fundamentally about showing up in dangerous, chaotic, unstructured environments and making split-second life-or-death decisions—something no robot or AI can reliably do. Communities trust firefighters not just to fight fires but to rescue people, provide emergency medical care, and be a calming human presence in crisis. The physical demands and unpredictable nature of every emergency make this one of the most AI-resistant occupations.",ladder,0,0,45000,46350,48000,50000,52000,54000,56000,58000,59530,61316,530196,"Yr1 $45,000 + Yr2 $46,350 + Yr3 $48,000 + Yr4 $50,000 + Yr5 $52,000 + Yr6 $54,000 + Yr7 $56,000 + Yr8 $58,000 + Yr9 $59,530 + Yr10 $61,316 = $530,196 − $0 training = $530,196","1. Paid Training: Paid fire academy (~4-6 months) and probationary OJT. 0 unpaid years. Cost is $0 as the department sponsors the recruit.
2. Earnings trajectory: Step-based salary schedule. Starts around $45k. Steps increase steadily each year of service, crossing the $59,530 median at Year 9, followed by 3% annual growth.",Medium,"Extremely competitive hiring process. Requires passing grueling physical agility tests (CPAT), written exams, psychological evaluations, and medical panels, followed by a physically and mentally demanding fire academy.","Pass a civil service exam, CPAT, and background check. Complete a fire academy (12-24 weeks, usually paid). Obtain EMT certification (often required or heavily preferred). $0 out-of-pocket costs if hired first.","27,100 projected annual openings. High demand with low turnover, meaning intense competition for every open position.","Excellent defined-benefit pensions are standard, often allowing retirement after 20-25 years of service at a high percentage of final average salary."
4,11-3051.00,Industrial Production Managers,https://www.onetonline.org/link/summary/11-3051.00,"$58.39 hourly, $121,440 annual",Slower than average (1% to 2%),1.9,"17,100",High school diploma or equivalent,"Area Plant Manager, Assembly Manager, General Production Manager, Manufacturing Coordinator, Manufacturing Manager, Plant Manager, Product Line Manager, Production Control Manager, Production Manager, Sub Plant Manager","Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",3.7,0.636,"Production managers are the human hub of a factory—they make high-stakes calls about staffing, scheduling, and quality while navigating competing priorities from corporate leadership, workers, and customers. Their years of deep knowledge about specific facilities, supply chains, and teams are nearly impossible for AI to replicate. AI will actually make them more effective by automating reporting and routine scheduling, letting them focus on the leadership and judgment that keeps production running smoothly.",linear,0,0,75000,80160,85320,90480,95640,100800,105960,111120,116280,121440,982200,"Linear: ($75,000 up to $121,440) over 10 yrs − $0 training = $982,200","1. Paid Training: Progression via on-the-job experience and promotions from supervisory roles (0 unpaid years, $0 cost).
2. Earnings trajectory: Salary grows linearly from a junior manager salary (~$75k) to the BLS median of $121,440.",Medium,"Requires years of hands-on experience in manufacturing to understand complex supply chains, personnel dynamics, and safety protocols. No stringent academic barriers, but proven leadership is mandatory.","Work up through the ranks from an entry-level production worker to a first-line supervisor, eventually proving capable of handling multi-department operations. Often takes 5-10 years of industry experience.","17,100 projected annual openings. Steady demand as existing managers retire, relying heavily on internal promotions.","Unionized plants might offer strong retirement benefits, but general managers typically rely on employer-sponsored 401(k) plans and performance bonuses."
3,19-4092.00,Forensic Science Technicians,https://www.onetonline.org/link/summary/19-4092.00,"$32.42 hourly, $67,440 annual",Much faster than average (7% or higher),12.8,"2,900",Post-secondary certificate,"Crime Lab Analyst (Crime Laboratory Analyst), Crime Scene Analyst (CSA), Crime Scene Technician (Crime Scene Tech), Criminalist, CSI (Crime Scene Investigator), Evidence Technician (Evidence Tech), Forensic Science Examiner, Forensic Scientist, Forensic Specialist, Latent Print Examiner","Collect, identify, classify, and analyze physical evidence related to criminal investigations. Perform tests on weapons or substances, such as fiber, hair, and tissue to determine significance to investigation. May testify as expert witnesses on evidence or crime laboratory techniques. May serve as specialists in area of expertise, such as ballistics, fingerprinting, handwriting, or biochemistry.",3.5,0.635,"Forensic science technicians must physically collect and process evidence at crime scenes—often chaotic, unpredictable environments where careful hands-on work is essential. Their findings carry legal weight in court, meaning a credentialed human must stand behind the analysis and testify. AI will actually help by speeding up database searches, pattern matching, and routine lab analysis, freeing technicians to focus on the most complex casework and expanding their capacity.",linear,2,12000,0,0,45000,48206,51411,54617,57823,61029,64234,67440,437760,"Linear: ($45,000 up to $67,440) over 8 yrs − $12,000 training = $437,760","1. Student Pays: 2-year Associate's degree or advanced certificate in forensic science/criminal justice (~$12,000). 2 unpaid years.
2. Earnings trajectory: Salary grows linearly from an entry wage of ~$45k to the $67,440 median.",Medium,Requires strong attention to detail and a solid understanding of biological/chemical sciences. Workers must pass rigorous background checks and be comfortable handling unsettling or gruesome crime scenes.,Complete an associate degree in forensic science or a related field (~$10-15k). Pass a strict background investigation to work with law enforcement agencies or crime labs.,"2,900 projected annual openings. Rapidly growing field due to expanding forensic technology, but it's a small overall profession, meaning jobs can be competitive.",Those employed by police departments or state/federal government agencies often receive strong defined-benefit pensions. Private lab workers utilize 401(k) plans.
3,31-2011.00,Occupational Therapy Assistants,https://www.onetonline.org/link/summary/31-2011.00,"$32.86 hourly, $68,340 annual",Much faster than average (7% or higher),19.2,"7,200",Associate's degree,"Acute Care Occupational Therapy Assistant (Acute Care OT Assistant), Certified Occupational Assistant, Certified Occupational Therapist Assistant (COTA), Certified Occupational Therapy Assistant (COTA), Licensed Occupational Therapist Assistant (LOTA), Licensed Occupational Therapy Assistant (LOTA), Occupational Therapist Assistant (OTA), Occupational Therapy Assistant (OTA), Registered Therapist Assistant, School Based Certified Occupational Therapy Assistant (School Based COTA)","Assist occupational therapists in providing occupational therapy treatments and procedures. May, in accordance with state laws, assist in development of treatment plans, carry out routine functions, direct activity programs, and document the progress of treatments. Generally requires formal training.",3.2,0.632,"Occupational therapy assistants provide direct, physical rehabilitation care to patients, guiding them through exercises and adapting treatment plans in real time based on how each person responds. They hold a license and are accountable for the care they deliver, and patients build genuine trust with them over the course of treatment. AI can streamline their documentation, but it can't replace the hands-on, relationship-driven nature of the work.",ladder,2,12000,0,0,56000,57680,59410,61193,63028,64919,66867,68873,485970,"Yr1 $0 + Yr2 $0 + Yr3 $56,000 + Yr4 $57,680 + Yr5 $59,410 + Yr6 $61,193 + Yr7 $63,028 + Yr8 $64,919 + Yr9 $66,867 + Yr10 $68,873 = $497,970 − $12,000 training = $485,970","1. Student Pays: 2-year ACOTE-accredited associate degree (~$12,000). 2 unpaid years.
2. Earnings trajectory: Salary grows 3% annually from an estimated $56k starting wage, crossing the BLS median of $68,340 just past Year 9.",Medium,"Requires completing a 2-year associate degree with clinical fieldwork, passing the NBCOT certification exam, and securing state licensure.",Graduate from an ACOTE-accredited OTA program (~$10-20k). Pass the National Board for Certification in Occupational Therapy (NBCOT) exam (~$500) and obtain state licensure.,"7,200 projected annual openings. Extremely fast growth driven by the therapeutic needs of an aging baby boomer population and increased survival rates for trauma/illness.","Rare. Generally relies on hospital, school district, or clinic-sponsored 401(k)/403(b) retirement plans."
3,49-9071.00,"Maintenance and Repair Workers, General",https://www.onetonline.org/link/summary/49-9071.00,"$23.38 hourly, $48,620 annual",Average (3% to 4%),3.8,"159,800",Post-secondary certificate,"Building Mechanic, Equipment Engineering Technician, Facilities Technician, Maintenance Engineer, Maintenance Journeyman, Maintenance Man, Maintenance Mechanic, Maintenance Specialist, Maintenance Technician, Maintenance Worker","Perform work involving the skills of two or more maintenance or craft occupations to keep machines, mechanical equipment, or the structure of a building in repair. Duties may involve pipe fitting; HVAC maintenance; insulating; welding; machining; carpentry; repairing electrical or mechanical equipment; installing, aligning, and balancing new equipment; and repairing buildings, floors, or stairs.",3.1,0.631,"General maintenance workers show up in person to fix a huge variety of problems across unpredictable environments—plumbing one hour, electrical the next, drywall after that—which makes automation extremely difficult. Their value grows with years of experience in a specific building or facility, where knowing the quirks and history of the systems saves enormous time. The sheer diversity and physical nature of the work provides strong protection, even though the role doesn't require formal licensing.",linear,0.5,2000,17500,36513,38027,39540,41053,42567,44080,45593,47107,48620,398600,"Linear: ($35,000 up to $48,620) over 9.5 yrs − $2,000 training = $398,600","1. Student Pays: Short post-secondary certificate or dedicated OJT roughly modeled as 0.5 unpaid years. Cost is ~$2,000.
2. Earnings trajectory: Yr1 prorated to 50% of starting salary ($17,500). Salary linearly interpolates up to the $48,620 median over the decade.",Low,"Entry barriers are low, often requiring only a high school diploma or a short certificate program. The difficulty lies in mastering a wide variety of practical trades (plumbing, electrical, carpentry) in unpredictable environments.","Complete a short vocational certificate in building maintenance or simply gain an entry-level position performing basic repairs, learning more complex trades via OJT.","159,800 projected annual openings. Very strong and steady demand across almost all real estate and facilities sectors.","Unionized maintenance workers (e.g., in public schools or government buildings) receive defined-benefit pensions. Private sector roles heavily rely on 401(k) matches or no retirement benefits."
3,49-3023.00,Automotive Service Technicians and Mechanics,https://www.onetonline.org/link/summary/49-3023.00,"$23.88 hourly, $49,670 annual",Average (3% to 4%),4.2,"70,000",Post-secondary certificate,"Automotive Drivability Technician (Auto Drivability Tech), Automotive Mechanic (Auto Mechanic), Automotive Service Technician (Auto Service Tech), Automotive Technician (Auto Tech), Diagnostic Technician (Diagnostic Tech), Heavy Line Technician (Heavy Line Tech), Lube Tech (Lubrication Technician), Mechanic, Quick Service Technician (Quick Service Tech), Service Technician (Service Tech)","Diagnose, adjust, repair, or overhaul automotive vehicles.",3.2,0.628,"Auto mechanics work hands-on with vehicles in unpredictable conditions—diagnosing problems that don't always show up in computer scans and physically making repairs in tight, awkward spaces. Customers also value a trusted mechanic they can rely on, adding a relationship layer. As vehicles grow more complex with software and electronics, AI diagnostic tools will actually help mechanics work faster and handle more vehicles, making this a role where technology expands what the worker can do rather than replacing them.",linear,1,5000,0,35000,36834,38668,40501,42335,44169,46002,47836,49670,376015,"Linear: ($35,000 up to $49,670) over 9 yrs − $5,000 training = $376,015","1. Student Pays: 1-year certificate program (~$5,000). 1 unpaid year.
2. Earnings trajectory: Salary grows linearly from an entry wage of ~$35k to the $49,670 median.",Low,"Entry barriers are low, often requiring only a high school diploma or a 1-year certificate. However, the work requires physical stamina, strong mechanical aptitude, and a willingness to purchase your own expensive tools.","Complete a 1-year certificate at a vocational/community college (~$5,000) or secure an entry-level lube tech role and learn via OJT over several years. Attaining ASE certifications can boost pay.","70,000 projected annual openings. High ongoing demand to repair increasingly complex vehicles, exacerbated by a retiring older workforce.","Unionized mechanics (e.g., at certain large dealerships or fleet shops) may have pensions, but most rely on 401(k) matches."
3,39-9031.00,Exercise Trainers and Group Fitness Instructors,https://www.onetonline.org/link/summary/39-9031.00,"$22.20 hourly, $46,180 annual",Much faster than average (7% or higher),11.9,"74,200",Post-secondary certificate,"Aerobics Instructor, Fitness Instructor, Fitness Specialist, Fitness Trainer, Group Exercise Instructor, Group Fitness Instructor, Personal Trainer, Private Trainer, Strength and Conditioning Coach, Yoga Instructor","Instruct or coach groups or individuals in exercise activities for the primary purpose of personal fitness. Demonstrate techniques and form, observe participants, and explain to them corrective measures necessary to improve their skills. Develop and implement individualized approaches to exercise.",2.9,0.628,"Fitness trainers and group instructors are fundamentally in-person roles—clients show up for the energy, accountability, and motivation that come from a real human leading the workout. The physical presence and personal trust relationship are strong natural protections against AI. However, the role doesn't require high-stakes judgment or professional licensing, and AI-powered fitness apps are already competing for the routine programming side of the work, which limits the overall resilience score.",linear,0.5,1000,17500,36242,37484,38727,39969,41211,42453,43696,44938,46180,387400,"Linear: ($35,000 up to $46,180) over 9.5 yrs − $1,000 training = $387,400","1. Student Pays: Requires short certification/exam prep (~$1,000) mapped as half an unpaid year.
2. Earnings trajectory: Yr1 prorated to 50% ($17,500). Salary linearly interpolates up to the $46,180 median.",Low,Anyone can study for and pass a basic personal training certification in a few months. The true difficulty is building and maintaining a steady client base and managing an unpredictable schedule.,"Study for and pass a major certification exam (e.g., NASM, ACE, ISSA). Costs range from $500 to $1,500. Secure employment at a commercial gym or build an independent client base.","74,200 projected annual openings. Very fast growth, though competitive to secure full-time hours with benefits.",Extremely rare. Almost entirely reliant on personal savings or minor 401(k) plans if employed full-time by a large gym chain.
2,33-1012.00,First-Line Supervisors of Police and Detectives,https://www.onetonline.org/link/summary/33-1012.00,"$50.95 hourly, $105,980 annual",Average (3% to 4%),2.9,"10,900",High school diploma or equivalent,"Captain, Deputy Sheriff, Detective Sergeant, Lieutenant, Patrol Sergeant, Police Captain, Police Chief, Police Lieutenant, Police Sergeant, Shift Supervisor",Directly supervise and coordinate activities of members of police force.,3.6,0.626,"Leading police officers and detectives demands high-stakes judgment in dangerous, unpredictable situations where lives are on the line and legal accountability is significant. These supervisors must be physically present at scenes, make split-second decisions about use of force, and navigate complex community and political relationships. AI can assist with data analysis and surveillance, but the authority and accountability to direct law enforcement operations must remain with a human leader.",ladder,0,0,65000,66950,68958,71027,73158,92000,95000,98000,101900,105980,837973,"Yr1 $65,000 + Yr2 $66,950 + Yr3 $68,958 + Yr4 $71,027 + Yr5 $73,158 + Yr6 $92,000 + Yr7 $95,000 + Yr8 $98,000 + Yr9 $101,900 + Yr10 $105,980 = $837,973 − $0 training = $837,973","1. Paid Training: Progression entirely via on-the-job experience as a patrol officer (0 unpaid years, $0 cost). We map this from entry into law enforcement.
2. Earnings trajectory: Salary grows 3% annually from an estimated $65k patrol officer wage. Promotion to supervisor (Sergeant) occurs around Year 6, jumping to ~$92k and growing to the $105,980 median at Year 10.",High,"Getting into law enforcement is difficult, and getting promoted is even harder. Requires surviving a probationary period, gaining 5+ years of patrol experience, and scoring at the top of highly competitive civil service promotional exams.",Serve 5-7 years as a successful patrol officer or detective. Pass a grueling written promotional exam and an oral board interview. No direct out-of-pocket educational costs required for the promotion.,"10,900 projected annual openings. Steady demand as senior supervisors retire, but competition for the limited number of promotion slots is intense.","Excellent defined-benefit pensions are standard, often allowing retirement after 20-25 years of service at a high percentage of final average salary."
3,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",https://www.onetonline.org/link/summary/49-9021.00,"$28.75 hourly, $59,810 annual",Much faster than average (7% or higher),8.1,"40,100",Post-secondary certificate,"A/C Tech (Air Conditioning Technician); HVAC Installer (Heating, Ventilation, and Air Conditioning Installer); HVAC Mechanic (Heating, Ventilation, and Air Conditioning Mechanic); HVAC Service Tech (Heating, Ventilation, and Air Conditioning Service Technician); HVAC Specialist (Heating, Ventilation, and Air Conditioning Specialist); HVAC Tech (Heating, Ventilation, and Air Conditioning Technician); Refrigeration Mechanic; Refrigeration Operator; Refrigeration Technician (Refrigeration Tech); Service Technician (Service Tech)","Install or repair heating, central air conditioning, HVAC, or refrigeration systems, including oil burners, hot-air furnaces, and heating stoves.",3.1,0.626,"HVAC technicians work hands-on in unpredictable environments—crawling through attics, diagnosing problems in unique building layouts, and handling refrigerants that require licensed expertise. Every job site is different, and the physical troubleshooting and installation work is extremely difficult for robots to replicate. AI may help with diagnostics, but the hands-on repair and legal requirements around refrigerant handling keep this role well-protected.",ladder,0,1000,35000,36050,37132,38246,59810,61604,63452,65356,67317,69337,532304,"Yr1 $35,000 + Yr2 $36,050 + Yr3 $37,132 + Yr4 $38,246 + Yr5 $59,810 + Yr6 $61,604 + Yr7 $63,452 + Yr8 $65,356 + Yr9 $67,317 + Yr10 $69,337 = $533,304 − $1,000 training = $532,304","1. Paid Training: 4-year on-the-job paid apprenticeship (0 unpaid years). Roughly $1,000 out-of-pocket for tools.
2. Earnings trajectory: Starts around $35k. Grows 3% annually during apprenticeship. Reaches Journeyman status at Year 5, jumping to the median of $59,810. Continues at 3% growth.",Medium,"Obtaining an apprenticeship can be competitive. The work is physically exhausting, involves heavy lifting, handling hazardous refrigerants, and working in extreme temperatures.","Join an apprenticeship program (union or non-union) providing 4-5 years of paid on-the-job training, or complete a 1-year certificate. Pass the mandatory EPA Section 608 certification to handle refrigerants.","40,100 projected annual openings. Huge ongoing demand driven by new construction, climate control needs, and the transition to heat pumps/energy-efficient systems.","Union members (e.g., UA) receive excellent multi-employer defined-benefit pensions. Non-union workers rely on 401(k) matches."
3,29-2042.00,Emergency Medical Technicians,https://www.onetonline.org/link/summary/29-2042.00,"$19.88 hourly, $41,340 annual",Faster than average (5% to 6%),5.1,"14,100",Associate's degree,"Emergency Medical Technician (EMT), First Responder",Assess injuries and illnesses and administer basic emergency medical care. May transport injured or sick persons to medical facilities.,3.4,0.624,"EMTs work in chaotic, unstructured environments—accident scenes, homes, public spaces—where they must physically stabilize patients and make rapid triage decisions under pressure. Patients and families need a calm, trustworthy human presence during their worst moments, not a machine. AI diagnostic tools may help EMTs make better field decisions, but the physical, hands-on nature of emergency medical response ensures humans remain essential on the scene.",linear,0.5,2000,16000,33038,34076,35113,36151,37189,38227,39264,40302,41340,348700,"Linear: ($32,000 up to $41,340) over 9.5 yrs − $2,000 training = $348,700","1. Student Pays: Short 1-semester EMT-Basic certificate mapped as 0.5 unpaid years (~$2,000).
2. Earnings trajectory: Yr1 prorated to 50% ($16,000). Salary linearly interpolates up to the $41,340 median over the remaining years.",Low,"The academic barrier to entry is very low; most pass the EMT course in a few months. The extreme difficulty lies in the job itself: severe physical and emotional stress, sleep deprivation, and low pay.","Complete a 150-hour EMT-Basic course (~$1,000-$2,000). Pass the National Registry of Emergency Medical Technicians (NREMT) cognitive and psychomotor exams.","14,100 projected annual openings. High demand and massive turnover ensure near immediate hire for newly minted EMTs.",Positions in municipal/fire-based EMS (like FDNY) offer strong defined-benefit pensions. Private transport companies typically offer standard 401(k)s.
